num	t/b	strain	dE	RMS	PR	hyst
44	top	0.0052	0.0	9.553900073344475e-05	0.06950542765556963	0.0042
44	bot	0.0009	0.0	8.311475747438109e-05	0.08284391101337701	0.0042
45	top	0.0022	0.0	0.00011375034964321708	0.49271730402154906	0.0002
45	bot	0.0019	0.0	8.100977177566086e-05	0.47709133606538756	0.0002
46	top	0.0041	0.0	7.322689148080651e-05	0.15100265981097064	0.0015
46	bot	0.0025	0.0	4.825060264632099e-05	0.14687544963288302	0.0015
47	top	0.0068	0.0	1.4889505153532928e-05	0.3860315105434427	0.0001
47	bot	0.0066	0.0	1.4889505153533147e-05	0.3858667505540306	0.0001
48	top	0.0309	0.0	3.262710483372109e-05	0.14630306118535585	0.0009
48	bot	0.0299	0.0	3.448413853611905e-05	0.15412988807773312	0.0009
49	top	0.0092	0.0	0.00027740714100554147	0.5012492915858365	0.004
49	bot	0.0051	0.0	0.00021248337872312322	0.3690853543257647	0.004
50	top	0.0095	0.0	1.213068061245097e-05	0.1307568886258602	0.0001
50	bot	0.0093	0.0	1.2130680612451114e-05	0.13235758739894213	0.0001
51	top	0.0217	0.0	4.9540589216745887e-05	0.24797088500431225	0.0003
51	bot	0.0213	0.0	0.00010274210203874173	0.24126879972178508	0.0003
52	top	0.0049	0.0	2.0916430589340968e-05	0.44605646149295347	0.0001
52	bot	0.0047	0.0	2.0916430589340738e-05	0.4446451638275946	0.0001
53	top	0.0206	0.0	2.1118634130728434e-05	0.18600306976070846	0.0006
53	bot	0.0199	0.0	2.3136869940106087e-05	0.2699651280050864	0.0006
54	top	0.0101	0.0	3.872984539462889e-05	0.2091835408047615	0.0002
54	bot	0.0098	0.0	3.731810187614607e-05	0.19171996664375968	0.0002
55	top	0.0098	0.0	6.211371158439061e-05	0.07356205025923584	0.0024
55	bot	0.0073	0.0	6.938372408670773e-05	0.07409274619916309	0.0024
56	top	0.0074	0.0	2.235555970987962e-05	0.13851454949300587	0.0005
56	bot	0.0068	0.0	2.9922112374366268e-05	0.1356120912125208	0.0005
57	top	0.0041	0.0	0.0001445759911039174	0.18314038975238264	0.0026
57	bot	0.0014	0.0	0.00013840383627231544	0.22358329396315701	0.0026
58	top	0.0009	0.0	4.273229229687772e-06	0.268853999236033	0.0001
58	bot	0.0007	0.0	4.27322922968758e-06	0.26824862569787994	0.0001
59	top	0.0066	0.0	1.744104398628003e-05	0.26363397639446634	0.0003
59	bot	0.0062	0.0	2.380452081912562e-05	0.28503057457403747	0.0003
60	top	0.0091	0.0	3.44783011486775e-05	0.17482857347031433	0.0001
60	bot	0.0089	0.0	3.4478301148677275e-05	0.17479049236238828	0.0001
61	top	0.0016	0.0	9.89194950048935e-06	0.22885614707992014	0.0001
61	bot	0.0014	0.0	9.891949500489439e-06	0.23014173458470064	0.0001
62	top	0.0196	0.0	0.00010202598707698055	0.16511985321210723	0.0014
62	bot	0.0181	0.0	0.00010655029874978895	0.1457409466778664	0.0014
63	top	0.024	0.0	1.505418559843508e-05	0.3221347932716338	0.0001
63	bot	0.0238	0.0	1.5054185598434957e-05	0.32195226205259925	0.0001
64	top	0.0093	0.0	1.8966763639194268e-06	0.008098696816039943	0.0105
64	bot	-0.0013	0.0	2.2353985659329073e-05	0.008207486011639203	0.0105
65	top	0.0541	0.0	0.00013280813769410226	0.15198132792444874	0.0006
65	bot	0.0534	0.0	0.0001252706179645184	0.1624691223304862	0.0006
