num	t/b	strain	dE	RMS	PR	hyst
0	top	0.0095	0.0	0.0002969892806113954	0.454972398785022	0.0018
0	bot	0.0076	0.0	0.0004423991238063671	0.42475630770846773	0.0018
1	top	0.0538	0.0	0.0007628238531789064	0.4702498660384923	0.0066
1	bot	0.0471	0.0	0.001202893347529934	0.5303611771712449	0.0066
2	top	0.0095	0.0	0.00016883001803327975	0.3181675350380858	0.0016
2	bot	0.0078	0.0	0.00011892021376185585	0.36531627730631594	0.0016
3	top	0.0159	0.0	0.0003824327090994927	0.5085990374416627	0.0076
3	bot	0.0082	0.0	0.0005385921856805372	0.6120478853525746	0.0076
4	top	0.007	0.0	0.00021559832930068652	0.3905973796922466	0.0004
4	bot	0.0065	0.0	0.00018429988399579805	0.36516026139620933	0.0004
5	top	0.0205	0.0	0.0005072492728750233	0.3886267530563801	0.002
5	bot	0.0184	0.0	0.0001631264205632972	0.24575843771905673	0.002
6	top	0.0007	0.0	6.669718348886795e-05	0.18856060938513905	0.0003
6	bot	0.0003	0.0	5.354739816736051e-05	0.19568762622419672	0.0003
7	top	0.0106	0.0	0.00012133689965222142	0.24872973959982267	0.0001
7	bot	0.0104	0.0	0.00012133772471455826	0.2490409641552593	0.0001
8	top	0.0314	0.0	0.0002912688662838452	0.3413052091618864	0.001
8	bot	0.0303	0.0	0.0002584467909523859	0.3715744191938706	0.001
9	top	0.0488	0.0	0.00015579708956784264	0.16784191098150686	0.0058
9	bot	0.0429	0.0	0.0001251368832197223	0.18163140064295494	0.0058
10	top	0.0157	0.0	0.00026990063130998617	0.3578104801586205	0.0054
10	bot	0.0102	0.0	0.00028764782881550844	0.3721070935806601	0.0054
11	top	0.0166	0.0	0.0004264587292117495	0.12843519674057247	0.0034
11	bot	0.0131	0.0	0.00019768245282370637	0.11867549172268543	0.0034
12	top	0.0119	0.0	0.0004507200899222681	0.18728143536626427	0.0072
12	bot	0.0046	0.0	0.00033566705099784635	0.1486870822219141	0.0072
13	top	0.0042	0.0	0.00014201482425108	0.44613073435007344	0.0003
13	bot	0.0038	0.0	0.0001001520977335832	0.4373735545285295	0.0003
14	top	0.0147	0.0	5.191915670936183e-05	0.30381201892871357	0.0001
14	bot	0.0145	0.0	5.1919156709362204e-05	0.30448354902015284	0.0001
15	top	0.0361	0.0	6.275867627880455e-05	0.45083402548700474	0.0001
15	bot	0.0359	0.0	6.275867627880493e-05	0.44960182255386016	0.0001
16	top	0.0193	0.0	0.0012440600268758138	0.4462982118593382	0.0192
16	bot	1.7162217522005398e-36	0.0	0.000837917850974781	0.2875316176757642	0.0192
17	top	0.0479	0.0	0.0021083716288605417	0.18231030045477264	0.0543
17	bot	-0.0065	0.0	0.002188395591544586	0.1362540788007006	0.0543
18	top	0.0084	0.0	0.0008154777608304315	0.43965710904741895	0.0122
18	bot	-0.0039	0.0	0.0006433211191194351	0.4266563087067434	0.0122
19	top	0.0205	0.0	2.4680125426970555e-05	0.14151707451410347	0.0002
19	bot	0.0202	0.0	2.4445490997022524e-05	0.15180999167888676	0.0002
20	top	0.0245	0.0	0.00011454032116679975	0.15785503792659225	0.0006
20	bot	0.0238	0.0	9.836499163388046e-05	0.1678877262244824	0.0006
21	top	0.0191	0.0	7.246390595847922e-05	0.29886476565062453	0.0004
21	bot	0.0186	0.0	8.705297525636292e-05	0.27831838463316216	0.0004
22	top	0.0192	0.0	1.1389740144663969e-05	0.12567214681815414	0.0001
22	bot	0.019	0.0	1.1389740144664103e-05	0.12693876243753777	0.0001
23	top	0.0282	0.0	7.141715839593719e-05	0.4965264717631883	0.0002
23	bot	0.0279	0.0	6.928231401122047e-05	0.4950069083629413	0.0002
24	top	0.0292	0.0	0.0009243925450642765	0.5207469249751843	0.005
24	bot	0.0241	0.0	0.0006586400084350384	0.5101039919660401	0.005
25	top	0.0398	0.0	0.00014595363506983032	0.3794004802729982	0.0003
