number	strain	dE
9-0	0.0324	-0.00913876284342883600505880430344130167
9-1	0.244	-0.0184380907322722782903590625448318409
12-0	0.1021	-0.0324174265504309374720927593131618712
15-0	0.2823	-0.0198404813998423966551114100297413402
15-1	0.1594	-0.0273698530537519157936148023611596884
17-0	0.2531	-0.00709575010961487436308852131139736362
20-0	0.2307	-0.021253378152219114333391142820494873
20-1	0.0067	-0.0122632020732688873268567092441704053
21-0	0.2826	-0.00619985981801332414667616908729235441
25-0	0.1257	-0.00595728590025337132142343568692520813
30-0	0.0579	-0.00707487365569451802499143998729910066
37-0	0.2673	-0.0138919960328483777664718682277521876
44-0	0.1075	-0.0177874568263663274666447524077880569
49-0	0.2901	-0.0101879063203203222209490963634787532
49-1	0.1886	-0.0273676876450313246777667845544174845
50-0	0.1125	-0.00378461209627875439214071767146907346
52-0	0.0377	-0.000362399240022691445942250065137671268
53-0	0.0639	-0.0106860404890072656908461037509411645
53-1	0.0413	-0.000132110114299409067150529425338474321
53-2	0.0634	-0.0314279055573357939529908209903576899
53-3	0.2387	-0.00915757840560667568801399502846619525
53-4	0.0981	-5.34445054334976061936628395556792025e-05
55-0	0.1382	-0.00895416486659567251259939736075662362
55-1	0.1208	-0.00378175959096170058391316842439248902
55-2	0.17	-0.0124488645420058958663506442561578864
56-0	0.0754	-0.00198779620110546598084215498198030714
60-0	0.1405	-0.00492492247294856005711722925627371344
60-1	0.0312	-0.0124564785376487932363769431582674124
60-2	0.1683	-0.00282423244838382269236753744337947367
60-3	0.0577	-0.00360507845737845213046738389163724263
66-0	0.0304	-0.00109537734058918523914080829460372797
69-0	0.1102	-0.0082525750147063120742630067301514019
71-0	0.0791	-0.00307301066202827003637648315433799057
81-0	0.0838	-4.10514574607918790590675316740703629e-05
81-1	0.2433	-0.0100271587558755182133591023317057874
83-0	0.0967	-0.0163193154752664526465608951616852941
91-0	0.2368	-0.0292736939652351232934308820386677329
91-1	0.2211	-0.00187890261898143010581871008385274356
92-0	0.2601	-0.0115640890316129245033970461278109859
95-0	0.1071	-0.00434680647265920258844468435623501261
95-1	0.1245	-0.0238733980309284492249014731681284576
95-2	0.0781	-0.0204783756194720489580132225807932966
99-0	0.0145	-0.0115938723820383294654934187937202998
103-0	0.1978	-0.025743185933226069807589501252003656
103-1	0.0518	-0.00720823660542524208470324441699599993
103-2	0.1336	-0.00421426306161497111888713454136417991
111-0	0.2333	-0.0118543195789661483661704420000191236
111-1	0.0175	-0.0246473548231338290282410598519466554
112-0	0.0279	-0.00780504973161818904902490363889623553
114-0	0.0897	-0.000846078126376409339897808419526098622
114-1	0.2718	-0.000419438635961810403878700690980601853
116-0	0.1373	-0.0103253668750876140336742422665533466
117-0	0.0093	-0.00878459497661752557077395125217525249
117-1	0.0039	-0.00125585981217862461644441631111547349
118-0	0.209	-0.0183422916668031039028075815153295451
119-0	0.1479	-0.00148806155312092199304743543676469887
121-0	0.1252	-0.0114728688012762716024785154237315434
121-1	0.0972	-0.0230631255145618962557009042000513215
121-2	0.0099	-0.000480804768523612762596671656358635813
126-0	0.2976	-0.00186723429979776986554587455137289607
127-0	0.2446	-0.0074029329532553467117696829042191052
128-0	0.0658	-0.013276134988431145966914101823421757
128-1	0.2836	-0.00328720385369445426100537511584318218
130-0	0.1286	-0.00704380880235709871887851424893139726
130-1	0.0352	-0.000733802729593906214510882580529148847
134-0	0.157	-0.00860807830522667283291265511694215795
134-1	0.1883	-0.0118076241396123746369344593384696598
134-2	0.2686	-0.00503600902515308677810830303702854798
134-3	0.2959	-0.00384945523151655825028323590536183817
137-0	0.2852	-0.000429573706393211940102636194076320817
140-0	0.2731	-0.00928862695666679964380359846867228322
140-1	0.1801	-0.0068052603210814751591290190347747659
140-2	0.2225	-0.0118143110708791919950969355409004555
148-0	0.0112	-0.00374618716074743551977091247242898059
148-1	0.0177	-0.00183257870726716441195298936947973483
152-0	0.1555	-0.00733202125187549133486018254964477491
159-0	0.0535	-0.00955914063600389739319460010898622377
163-0	0.0136	-0.000621017951305252040822872869687398602
163-1	0.0473	-0.00449793717481815461250908557706252518
164-0	0.2952	-0.00213047064777992562467309076580695417
166-0	0.1178	-0.0141178643160948792612841330679230591
166-1	0.1005	-0.0188299988384778511255552375029507588
178-0	0.0283	-0.00409412731613746925142466465468468791
168-0	0.2847	-0.0081242886240579114020850171918277885
177-0	0.1155	-0.0245228558492510624687805923852250982
188-0	0.0283	-0.00177890421051602224770704853431276754
177-1	0.037	-0.0242052053642116619987258150968483917
185-0	0.2474	-0.00907633830139153302524411610831806097
186-0	0.2926	-0.00221138987287096307283231525256196377
185-1	0.1149	-0.00972587383891583849134714999003878019
188-1	0.2994	-0.0160997729958624496304292766547697408
191-0	0.1946	-0.00572168263706731443318265750833389382
192-0	0.0641	-0.000553907829505892083922392860278880295
191-1	0.0302	-0.0143523183232807411780815486673705056
198-0	0.2334	-0.00395451800109133711545930720286713443
191-2	0.2982	-0.00406265633782760636326873413360151011
