num	t/b	strain	dE	RMS	PR	hyst
0	top	0.0055	0.0	2.2861215073349084e-05	0.09328157134098203	0.0045
0	bot	0.0009	0.0	2.7430504498186093e-05	0.1571084952967866	0.0045
1	top	0.0154	0.0	5.0524601409934275e-06	0.09101247346633207	0.0004
1	bot	0.0149	0.0	1.0810955739023726e-05	0.16662629321240252	0.0004
2	top	0.011	0.0	2.8977162045662167e-06	0.054700023943110083	0.0002
2	bot	0.0107	0.0	2.903642534405281e-06	0.05457612898339133	0.0002
3	top	0.0117	0.0	4.625599792885845e-05	0.08928920151611369	0.0058
3	bot	0.0058	0.0	3.210586269703352e-05	0.08441632892715992	0.0058
4	top	0.0098	0.0	9.692049434661051e-06	0.10751355813500789	0.0017
4	bot	0.008	0.0	8.08242648097443e-06	0.051669574457164955	0.0017
5	top	0.0019	0.0	2.351667232378822e-05	0.07413602427203035	0.001
5	bot	0.0008	0.0	2.3024858137439816e-05	0.0672187731835636	0.001
6	top	0.003	0.0	8.114971680842212e-06	0.03420907483352113	0.0052
6	bot	-0.0023	0.0	7.560708687623859e-06	0.0324139139140934	0.0052
7	top	0.0094	0.0	7.006328539859615e-06	0.09676591378855313	0.0006
7	bot	0.0087	0.0	5.911747911111516e-06	0.05463087705216093	0.0006
8	top	0.0022	0.0	4.70196723535428e-06	0.2898055240567482	0.0002
8	bot	0.0019	0.0	5.184763844399022e-06	0.2791058013606046	0.0002
9	top	0.0033	0.0	2.0088624213806874e-06	0.12478423132333476	0.0002
9	bot	0.003	0.0	2.194906972106257e-06	0.13054636860251845	0.0002
10	top	0.0022	0.0	2.9407725965035924e-05	0.17794629606178647	0.0037
10	bot	-0.0016	0.0	2.0906919400500793e-05	0.1512287531796428	0.0037
11	top	0.0165	0.0	1.1149258719592943e-05	0.15778409381297032	0.0063
11	bot	0.0101	0.0	1.2849719139989371e-05	0.14946046018574088	0.0063
12	top	0.0077	0.0	1.000436033340184e-05	0.1109267441777332	0.006
12	bot	0.0016	0.0	6.85054498598052e-06	0.07249107887624902	0.006
13	top	0.001	0.0	8.032767949984652e-06	0.055860928754207534	0.0003
13	bot	0.0006	0.0	4.9198968439729145e-06	0.06179858261797292	0.0003
14	top	0.0121	0.0	4.347654076595983e-06	0.030503337834847006	0.0002
14	bot	0.0118	0.0	3.7539077253925864e-06	0.03131662435084945	0.0002
15	top	0.0036	0.0	2.9514648826941256e-06	0.045897855327263086	0.0007
15	bot	0.0028	0.0	4.711402204063891e-06	0.06597515222606938	0.0007
16	top	0.0057	0.0	7.753763187462019e-06	0.17003888410760262	0.0003
16	bot	0.0053	0.0	7.878570474643746e-06	0.16516057893528924	0.0003
