number	strain	dE
2-0	0.0137	-0.00971181852033547458242277464933445133
0-0	0.033	-0.0144816972204745648553780764688773032
8-0	0.0154	-8.16011221466648808092685140197024152e-05
0-1	0.0244	-0.00389796318945418110039082517852507662
0-2	0.0	-0.00502273950022521716655384338679521427
11-0	0.0257	-0.00233680825469837123022297163340110803
13-0	0.0259	-0.00975540252659519479209835604828372514
9-0	0.036	-0.0292920919185043216817017747712594839
11-1	0.0026	-0.00170119204185313544117833717158903015
13-1	0.0024	-0.00366846328692340859458707803959475064
0-3	0.0272	-0.000240389425727490557676636549447775553
13-2	0.0301	-0.000329426748416166592639679807385155739
13-3	0.0003	-0.000104011958554882640159252073019452862
13-4	0.0036	-0.0191013431060072243874582571373267056
19-0	0.0051	-0.00338515434368449414528691656312463936
20-0	0.0039	-0.0012669850947723863218941311105614738
19-1	0.0195	-0.0211800777456750571781384355844900313
20-1	0.0143	-4.30126190931299739352198888031060368e-05
23-0	0.0168	-0.000704668791530783134016859617047018103
21-0	0.0156	-0.00704020435249470754695240224906723985
22-0	0.0129	-0.0043666406833998883021841800939061631
20-2	0.0309	-0.00303943001028285256372030152257346153
26-0	0.0039	-0.00021382755787324558277042861862417027
20-3	0.0413	-0.00617797993790958320139879953702385236
21-1	0.0849	-0.00120088848325569431800686381751547318
20-4	0.008	-0.000482347294368520332483777093456043115
26-1	0.0368	-0.000860246940048194842685828252771698126
29-0	0.023	-0.0305387301736364887006724541580818465
30-0	0.0153	-0.0230658631606165325533343803589766319
31-0	0.0225	-0.00490466050359697105683761578590811461
31-1	0.0116	-0.00596815109959887494170174553010523083
31-2	0.0091	-0.00111498844741557414094599921082342273
45-0	0.0136	-0.00215482241035162573275359382208167587
43-0	0.0489	-0.000200601490888864667184201887321913717
46-0	0.0505	-0.00168989024420942323743732562303092489
45-1	0.0187	-0.000770133895017904081751248993774016709
46-1	0.0219	-0.0229728990871562448515896481327595569
43-1	0.0137	-0.00567397362281693437050544074437642039
44-0	0.0466	-0.0180747353367598973431835120088901857
48-0	0.0039	-0.000368454490343803059807403388778279957
45-2	0.0402	-0.0104556461940825429396896223223076734
49-0	0.0106	-0.00302024142682250338310479723621385493
49-1	0.0064	-0.015350665257841872439435416383102842
48-1	0.0369	-0.0037305693505371201636598246739084856
49-2	0.0129	-0.0210529410482229295545509629175665032
52-0	0.0678	-0.000192209451024830496774052192359104445
50-0	0.015	-0.00979797383008109084627119781695033418
56-0	0.0293	-0.00762876176858873546316290840459071624
58-0	0.0164	-0.00909891972197326887510184962415257458
65-0	0.0019	-0.00339928034566723677264535445570882296
58-1	0.0295	-0.0148345797832400219645792054668066755
66-0	0.0074	-0.0129159377963228550355338502459708949
56-1	0.0449	-0.00313647168150852771464127170675091855
70-0	0.0108	-0.00193981802404982300211062439066420666
72-0	0.0026	-0.000586587662463712037353269568597633427
72-1	0.0372	-5.63791406200350544360452085572197575e-05
74-0	0.0374	-0.0154644191087401163477981201399966966
70-1	0.044	-0.0229044394157584808676827199356308288
76-0	0.0383	-0.00045987210140305889671146148112598102
77-0	0.0312	-5.20005765123871518312827854697842944e-05
76-1	0.0212	-0.0141475062292663997134482527726407442
70-2	0.0236	-0.00220592536999874631502407567887254181
77-1	0.0049	-0.000341680787699769689189375391874558796
82-0	0.0011	-0.000502241697574670462246100114839509134
77-2	0.0335	-0.00249201910037043047544367828238869657
83-0	0.0215	-0.000373354286160817825876834523346752842
86-0	0.0047	-0.044546243264842684229767746288665077
