num	t/b	strain	dE	RMS	PR	hyst
0	top	0.1119	0.0	0.0010157095241965152	0.4827129773586478	0.0028
0	bot	0.109	0.0	0.0010239268366597398	0.46255313598994685	0.0028
1	top	0.089	0.0	0.004777974493285763	0.34868762389621755	0.027
1	bot	0.0619	0.0	0.0040722799884138185	0.41586743702662415	0.027
2	top	0.0397	0.0	0.0053411118674040635	0.42273136548878215	0.0379
2	bot	0.0017	0.0	0.004928936437025166	0.5438937566093078	0.0379
3	top	0.0404	0.0	0.0011444923349493634	0.4709306674772722	0.0055
3	bot	0.0348	0.0	0.0029492585613702556	0.5007023283126752	0.0055
4	top	0.0379	0.0	0.0030435119097847892	0.2567885492781641	0.0071
4	bot	0.0307	0.0	0.00307418213703349	0.2570608619878961	0.0071
5	top	0.221	0.0	0.00030346452052187526	0.44747219295576646	0.0008
5	bot	0.2201	0.0	0.00016186059378969217	0.4051397977838391	0.0008
6	top	0.0369	0.0	0.0035823193721810577	0.3448584268005651	0.0369
6	bot	-0.0001	0.0	0.0025256182651737053	0.29995920228068607	0.0369
7	top	0.049	0.0	0.0013921491587924318	0.3680398384716047	0.0016
7	bot	0.0473	0.0	0.0009673222073125771	0.36643935838499686	0.0016
8	top	0.0599	0.0	0.0016463795563500267	0.35237384008463596	0.0042
8	bot	0.0556	0.0	0.000725671596070831	0.2805129621709911	0.0042
9	top	0.1727	0.0	0.0025045618293244344	0.3822390655369907	0.0315
9	bot	0.1411	0.0	0.0026958679811628803	0.5438534884882725	0.0315
10	top	0.0804	0.0	0.0018373130993953799	0.5701125781425109	0.0063
10	bot	0.074	0.0	0.0008010375549312959	0.577729318939985	0.0063
11	top	0.1261	0.0	0.0014841367785125817	0.5479373252430582	0.0058
11	bot	0.1202	0.0	0.001312008840155869	0.541095483482341	0.0058
12	top	0.1494	0.0	0.0007049426417279117	0.34783826548410424	0.0019
12	bot	0.1474	0.0	0.0004978011738908094	0.2283450705442254	0.0019
13	top	0.0643	0.0	0.0034183618979835924	0.47310612503105515	0.0143
13	bot	0.0499	0.0	0.004003708423868567	0.32812733853085585	0.0143
14	top	0.082	0.0	0.002792742769095824	0.5594947419068984	0.0143
14	bot	0.0676	0.0	0.0033447843594982714	0.5332269574394772	0.0143
15	top	0.0709	0.0	0.005847101715756525	0.5005253600243255	0.0402
15	bot	0.0306	0.0	0.002878962410084279	0.5036132904115037	0.0402
16	top	0.1987	0.0	0.003680162215006367	0.532750048014354	0.0168
16	bot	0.1818	0.0	0.004741599970625332	0.6235532204594844	0.0168
17	top	0.0247	0.0	0.0008278948986235208	0.16690028268695875	0.0006
17	bot	0.024	0.0	0.0005645489557290738	0.1709440836271375	0.0006
18	top	0.0446	0.0	0.004921821807978545	0.3389081707257633	0.0309
18	bot	0.0136	0.0	0.004363517143879708	0.2809744793677689	0.0309
19	top	0.0561	0.0	0.005788067340460971	0.3531741443884297	0.0441
19	bot	0.0119	0.0	0.005044399862481958	0.41725724495194527	0.0441
20	top	0.0878	0.0	0.0024663905158787006	0.44737167276877643	0.0074
20	bot	0.0803	0.0	0.0025078579436720225	0.49791460435407975	0.0074
21	top	0.2356	0.0	0.005384111437889465	0.10497513416730805	0.154
21	bot	0.0815	0.0	0.0025604187686260856	0.10029670677906856	0.154
22	top	0.0152	0.0	0.0013612576517582145	0.699431403214409	0.0095
22	bot	0.0056	0.0	0.0011093192162445356	0.5808610858193016	0.0095
23	top	0.0112	0.0	0.003982364819351974	0.308436745150955	0.0136
23	bot	-0.0025	0.0	0.0040193284821410415	0.3215377329844443	0.0136
24	top	0.0312	0.0	0.002518566127429843	0.2524226906698018	0.0033
24	bot	0.0278	0.0	0.00277589401178102	0.2439592665551601	0.0033
25	top	0.0145	0.0	0.0033674527593817974	0.671822124968272	0.0064
25	bot	0.008	0.0	0.0021334175230761014	0.6906748898831953	0.0064
26	top	0.0294	0.0	0.001631097104619385	0.7234566375161058	0.0009
26	bot	0.0284	0.0	0.0015444253689732418	0.7113864496352155	0.0009
27	top	0.0225	0.0	0.001941918429907596	0.635714391150397	0.0182
27	bot	0.0042	0.0	0.0034430564990620026	0.6241464026847144	0.0182
28	top	0.044	0.0	0.0012849328338256898	0.5471460852371143	0.0031
28	bot	0.0408	0.0	0.0008184451639447044	0.5627591926633776	0.0031
29	top	0.0547	0.0	0.001104670371708685	0.7447223591121528	0.0043
29	bot	0.0503	0.0	0.0011704809538728791	0.7629669220537054	0.0043
30	top	0.0559	0.0	0.0014258981106412179	0.5917968573858774	0.003
30	bot	0.0528	0.0	0.0014059893471642922	0.5419717026531984	0.003
31	top	0.0802	0.0	0.0014111151363201304	0.14000940250921146	0.024
