number	strain	dE
2-0	0.006	-0.000186191063612647227327867096569493816
2-1	0.0044	-0.000137675050625041039431739431363670536
5-0	0.0153	-0.026093702175124381743561211731394949
4-0	0.0258	-0.0074020277592242146634282563730176748
2-2	0.0031	-0.000598056216274839643976423047168283248
7-0	0.0054	-0.00941000564824047530226440206109906607
5-1	0.0285	-0.0119964563224816087487639605970165463
8-0	0.0032	-0.00193778033236377631046228328702830583
10-0	0.0025	-6.45053911748720825051098138266723511e-07
12-0	0.0105	-0.00128684870578886226955679397508739677
9-0	0.0264	-0.000137802087817699623619584355087135499
14-0	0.0149	-0.000285954764303218841589734470269342067
12-1	0.0223	-0.0113423535432075183701343173298683723
15-0	0.021	-0.000841165448990322197159073519147684398
14-1	0.0195	-0.00368335976364840178672245593624142309
14-2	0.0119	-0.0101424422640553254317623823759381709
19-0	0.0065	-0.0169135982285253792155409044220282378
18-0	0.013	-0.0165880752818937675673655265282328956
16-0	0.0191	-0.0230200357065424093045984867991421331
18-1	0.0194	-0.0040141596593638102076545972302714615
21-0	0.0024	-0.000658641342969930537457517702584463483
22-0	0.0021	-0.000226601197789756528593944700894881618
18-2	0.0203	-0.00124977307181851067145987231246796057
27-0	0.0218	-0.00236942796904475160285198155755558472
29-0	0.0096	-8.79709593600483111302194011924775977e-05
32-0	0.0012	-0.000251822785747065456921029433738395993
27-1	0.0149	-0.00258964762742190941908765821052476427
34-0	0.0005	-0.00538905701135098796443772867766408068
27-2	0.0177	-0.000642307394893235300079902902947351736
35-0	0.0097	-0.00165144014304579166398973365191549589
37-0	0.0124	-0.000893406490914072516826625153752005191
33-0	0.0311	-0.00537254660416798079248741713394103257
33-1	0.003	-3.01149084025779594671137102652069509e-05
38-0	0.0138	-0.00215893437745879512122150757979141813
44-0	0.0033	-0.00122266595708120850819080143616105598
40-0	0.0356	-0.00123008326000041379381974851631558898
40-1	0.0091	-0.00200561237854206871011266199703069294
39-0	0.0418	-0.00269501423052227088947516281963833783
41-0	0.0119	-5.42219060813921562514086845499769349e-05
44-1	0.02	-0.0389496500686953921010924637424543448
44-2	0.0037	-0.0145848004009257964685073564320660255
40-2	0.0176	-0.00564532480078052713194723800902713646
