number	strain	dE
8-0	0.009	-0.00154426413405509687543759646008687812
15-0	0.0362	-0.000226671673355799791959795009736097977
14-0	0.0945	-0.00490204766973161906444105299636141549
17-0	0.0063	-0.000311262925885607170875854755436188413
14-1	0.016	-0.000282443053964272834061060970185484902
16-0	0.0621	-0.0200894691995039464671861053989058827
15-1	0.0089	-0.000846210867497066704385188534801517985
15-2	0.0337	-0.0110545252181667939357239291798440969
15-3	0.0123	-0.00360751678457401619166122089254528452
21-0	0.1211	-0.000732217296454815354587030069635994882
23-0	0.0179	-0.00328553091160343352128903470134767878
15-4	0.1387	-0.0268619326289688290172607917502236547
15-5	0.0897	-0.000220478446397239941359377989149252006
23-1	0.0205	-0.000210424386285386735120660792763452494
29-0	0.0266	-0.0151580331109033008081266494583308198
15-6	0.1056	-0.00191866688368950287102229597213931356
30-0	0.0093	-0.000296159163182908878877640638781116392
21-1	0.0098	-0.00476948230250818979628765503502594884
37-0	0.0193	-0.00539346973160068411297213856629669762
32-0	0.0127	-0.0200198165753747424828136988465303931
21-2	0.0486	-0.014290091585779798906349312642098754
39-0	0.0199	-0.00947051732013119876955423039896496045
21-3	0.1261	-0.0361408594333645671502107149357415847
50-0	0.0164	-0.000121758080274923213170584549769035059
49-0	0.2559	-0.00608945171545667306356454729202705736
53-0	0.0222	-0.000481728177306340350660779323960964686
49-1	0.0132	-0.0186991803928539403058323622974556581
55-0	0.0777	-0.00252234328324298040187949819413867867
54-0	0.0822	-0.00229502640397504387301908486274658157
54-1	0.0179	-0.00348238226986848303654362360338927303
53-1	0.1638	-0.0168505899545743894018742019796296755
62-0	0.0145	-0.00628974872065192711677172513697731973
64-0	0.0368	-0.00957860962082992629493286726136944897
54-2	0.2051	-0.0127958221026661482887686851412886461
65-0	0.016	-0.000845785537236140144204248310356226701
54-3	0.0064	-0.00108973314601404111699335752571854519
64-1	0.0205	-0.0208174569721618575861445102207357972
66-0	0.0052	-0.00401776845373495015878781020244328256
65-1	0.0882	-0.00758283736683667403140838783752448931
67-0	0.0312	-0.000745494789379499234256472052427527393
65-2	0.0042	-0.0012903761681167509371028195358111961
64-2	0.2089	-0.000228792235151033179288930754630192664
66-1	0.067	-0.00404970974870694613644922344110572908
71-0	0.0112	-0.00221141139847383529833414857431708912
73-0	0.0241	-0.0135730163843324523863668107934592428
74-0	0.0964	-0.0108119536594942295573805794545044736
77-0	0.0132	-0.000845269274156748630911519932748162261
76-0	0.0053	-5.81487033688675155689229284927236017e-05
77-1	0.0367	-0.00151262683881480155508795280477096112
76-1	0.0216	-0.000780822218700732741808242412224291888
78-0	0.2692	-0.00856232366437247833154697965789389199
80-0	0.0023	-0.0194513873116135219208798871089470519
78-1	0.0121	-0.000835511401167468689488170639402969974
82-0	0.1233	-0.0195877584979113388281191554764216788
80-1	0.0856	-0.00455900000151771874103594802008420447
80-2	0.0002	-0.00910065554658779191317584762485251946
82-1	0.0894	-0.00268462410844963433469346524361073655
82-2	0.0334	-0.00987839510247118885805363500550723537
86-0	0.0141	-0.0125398263559396385234715731636908047
91-0	0.0638	-0.011863417137334378448017613925522544
91-1	0.0672	-0.000376334075497299182047130092920842304
89-0	0.2895	-0.0102770212595078662120764299620480227
89-1	0.0028	-0.00186878861374347672811438151041790033
92-0	0.1475	-0.00388232766583297780696202879370573885
91-2	0.0348	-0.00756506432618166864412290201071290481
91-3	0.0748	-0.00537868202607628775566038996725745967
98-0	0.0316	-0.0155142205280803798672873591556760035
99-0	0.0548	-0.0251863990926735499847579292901118744
108-0	0.1058	-6.47189383039586604542722180952990982e-07
106-0	0.2208	-0.011074845038587243392106378080800816
106-1	0.0424	-0.0084271385000453436376273371267966954
114-0	0.0237	-0.00146728339711336299793786554615974367
110-0	0.2093	-0.0139329447069728793219907290469642427
112-0	0.2778	-0.00188945895287055263701378573230488769
116-0	0.0212	-0.022048678715559968495550246451475581
110-1	0.0116	-0.000244780000546046944881790859209200873
118-0	0.1413	-0.0175007425669531090370123827666975043
119-0	0.1208	-0.00487373638415547395617941833712252728
