number	strain	dE
0-0	0.0018	-0.00224886633560425414765625942305688095
4-0	0.0056	-0.00311019528323985003131961496865809736
3-0	0.0002	-0.0121739686928152575767091118123902871
1-0	0.0009	-0.00318547954384551233749254076676183348
3-1	0.0032	-0.000440846101777349793271175086732803705
1-1	0.0044	-0.00725966015206888619638022429141205208
7-0	0.0014	-2.04947701378378510281727336707011513e-06
1-2	0.0057	-0.0101678964724887922746668673045168805
8-0	0.002	-0.0237014892682317577345321360751186613
13-0	0.0029	-0.000627858263922125261564347165937304533
10-0	0.0116	-0.000715951813547738714966037905792904852
12-0	0.009	-0.0352039194824640580988774075725614458
20-0	0.002	-0.0554247159388457356666112992817390008
24-0	0.004	-0.000129598306450872030421698664374919367
25-0	0.0075	-0.0362000721185514656017945314332569584
23-0	0.0272	-3.59072942367106482952233709332962281e-05
24-1	0.0027	-0.0172739787774622488898366731544857781
26-0	0.003	-0.000355425629086614739259108574647489845
23-1	0.0008	-0.0165981637267878350513640968287257714
25-1	0.0	-0.000895112068980236164932878095324516475
23-2	0.0047	-0.000415886401743775786874693251721692506
24-2	0.0024	-0.0135909891238348007765069502901815055
23-3	0.0032	-0.0151026572617560962215920072809217929
23-4	0.0016	-0.00336329519165925464567810673224977691
26-1	0.0237	-0.000182906600615222951437592619339210212
26-2	0.0042	-0.00800771094242226030168041565555863183
27-0	0.0023	-0.00193264412508444680663250514471691625
26-3	0.0036	-0.0303450140205177055993460195107162073
26-4	0.002	-0.00245574629120426944099553440600674965
36-0	0.0061	-0.000400031234029474276961830453650743078
39-0	0.0109	-0.000279198776367956203565778027069246306
36-1	0.0078	-0.00676140143339263292188889027731957315
35-0	0.0124	-0.00174333553710255817545801730869755467
39-1	0.0007	-0.00662884285768131671952133228826973105
36-2	0.0036	-0.00286241423115348980708328495246547774
35-1	0.0042	-1.57113583870976754376675519629817199e-05
38-0	0.0445	-0.0266096539411048517558919422150380241
41-0	0.0021	-0.0109351774500827688464124881758834202
46-0	0.0034	-0.00449982244503730127228076332306464818
51-0	0.0041	-0.00350351484058925730092270035447751727
52-0	0.0014	-0.0260116458918394726855277101445162776
52-1	0.0021	-0.000105822004802944772437014859426559773
51-1	0.0131	-0.00266061401299648321968988626118982046
52-2	0.008	-0.0309907016450463114486758486605311104
56-0	0.0108	-0.0136775574716503010572544604481640219
52-3	0.0015	-0.000795101471883166850895494296810834949
51-2	0.01	-0.0422667623685875812144917059871884235
57-0	0.0035	-0.00498288188100334066425858446883143087
57-1	0.003	-5.59538512266903478372494320967467228e-05
60-0	0.0022	-0.000250833641504828806751875532967765231
57-2	0.0206	-0.000226210851571425116730499108079118815
60-1	0.0075	-0.000149635257010339011100051373762883449
57-3	0.007	-0.000342545262628670352034073514007747847
63-0	0.0024	-0.0173898145078184149435672406756763558
64-0	0.0027	-7.49577481428818693080217716899616865e-05
65-0	0.0148	-0.00812144400700043811046385599188472553
66-0	0.0015	-2.29099589191961264714135754476326832e-05
57-4	0.0055	-0.00111838505603741315824217302902731894
67-0	0.0016	-0.0484425333128691304084090825100463871
65-1	0.018	-0.0119756495512357941653566434083929621
67-1	0.0121	-0.000158395718873685917134785740119778284
68-0	0.0204	-0.00309924755590264210930998938965097896
67-2	0.0021	-0.0011840076451325356072215358154957068
68-1	0.0046	-0.0101139377894289195382059866376811814
73-0	0.0086	-0.000690460850141931705606847308846572498
74-0	0.0077	-0.0219837310969280093052949238436438421
75-0	0.0011	-0.0114405390478519464333339595521062383
71-0	0.0145	-0.000293193561157988322610803786246284095
71-1	0.0081	-0.0016049717080934539131410099633432382
79-0	0.0093	-2.41751532305429806741388957246835553e-05
