number	strain	dE
98-0	0.0009	-0.0010688614039043558990062378311240977
97-0	0.0061	-0.0139897073304940566406617532580650959
97-1	0.0042	-0.000269240732054599689190658749389464544
100-0	0.0032	-0.00474759568435867885943679384322987518
104-0	0.0027	-0.000275778461602383444191445004345433263
110-0	0.0045	-0.00663409409615688454988704768441152268
117-0	0.0007	-0.0168215363888543108509518093086582341
115-0	0.0095	-0.0113556551807842687087691518594985448
121-0	0.002	-0.000499101158527331093432588302364077979
115-1	0.0028	-0.0641278433611320608535282226746061721
123-0	0.0047	-0.000228121890115886510051149508391786496
121-1	0.0038	-0.0287161096930094558892968216700150807
125-0	0.0006	-0.00564968302847213172747095879239646195
125-1	0.0064	-0.0179915233374476695210852903466800162
128-0	0.0058	-0.0192983950842055372151775840400369235
132-0	0.0003	-4.20541173853719210110035357393563709e-06
121-2	0.0046	-8.48228299910111792828420786303168513e-05
121-3	0.0003	-0.00139424419598472245130332546417683609
133-0	0.0	-0.00520488970910148637870511536836961058
128-1	0.0026	-1.93400823942852104604072871014180895e-07
134-0	0.0005	-0.00876153254142506566835121899810973151
137-0	0.0021	-1.91568849664151305379798096723319177e-05
139-0	0.0021	-0.00569513305283647522279051254434813162
134-1	0.0004	-0.000114828989790951724203873866468630208
140-0	0.001	-0.00218765825190927097375805606021723504
140-1	0.0014	-0.000357652370489371153159380960022657162
128-2	0.0007	-1.49651066009814391963997070269889482e-05
145-0	0.0032	-0.000355299079456264183707975420763448169
146-0	0.0008	-0.00378424598326893044137286591814228982
140-2	0.0001	-0.00773588547020320364441063826517621405
148-0	0.0008	-0.0315447633778426647094213910003137957
145-1	0.0045	-0.000177187096005045799166752673551477391
143-0	0.0065	-0.00230840038205972332824796937116647478
148-1	0.0004	-0.000488238324156964078261311168810767525
145-2	0.0032	-0.000457802623110358692120744555658166401
152-0	0.0007	-0.0791109265533054439597048753164133811
148-2	0.0032	-7.31946795972984742794513632094596474e-05
145-3	0.0052	-0.00987457126105928146075745013798679743
155-0	0.0007	-0.000108317602041294265468846614818197799
145-4	0.0009	-0.000146700771005186207596583688563207799
148-3	0.0025	-0.00476262160334984494461760885861525448
154-0	0.0082	-0.000304454345328497630175773397393372691
156-0	0.0007	-4.25804156493048547742503404441482069e-05
155-1	0.0082	-0.00137046246390220886637171886382690997
159-0	0.0013	-0.0166245216602973924063292681668560259
158-0	0.0033	-0.00756049253953146138868799419548385387
158-1	0.0009	-0.0259464217692734075310243048307398998
159-1	0.0046	-0.000522746960405656514051906897221689307
160-0	0.0012	-5.34955941880212190103555964882834228e-05
158-2	0.0017	-0.0212160957213092703538819031725720079
165-0	0.0058	-6.44292119400431865648375403414251358e-05
161-0	0.0018	-7.70746365640123086539297484494160556e-07
165-1	0.0027	-0.000124710119735566532738178456910396277
167-0	0.0014	-0.00203377572184570575910597716921664361
158-3	0.0067	-0.000896785417070271554206501964503426945
172-0	0.0001	-0.000540139663515039979526887429490565485
171-0	0.0026	-0.000177557918012729965794714713623905743
173-0	0.0031	-0.000396064120193490472297719108531366945
165-2	0.0109	-0.0582614451820082298025746482318189672
173-1	0.0008	-0.000456918889108410883612490727160348242
174-0	0.0016	-0.0226268376315352740627142746431144071
176-0	0.0063	-0.0042174843047103699225536907371342453
178-0	0.0013	-0.00881877980307140884404642211039134825
181-0	0.0009	-0.00906723806450050190117770885851022181
178-1	0.0012	-4.8667115192226285037612767781174129e-05
181-1	0.0017	-0.000106350466669731863634599948514182301
178-2	0.0002	-0.0684514152881304097528748876909333899
179-0	0.0057	-0.00663431440562262322982575336259785723
181-2	0.0003	-0.00988087540035801940391477013899331521
179-1	0.0025	-0.041040761181421292753581097094133447
183-0	0.0039	-0.00413492659837585884440307053578718042
183-1	0.0015	-0.0069500098797685247823384071530045269
178-3	0.0044	-0.000687881455845377624473519556911667705
184-0	0.0044	-0.00139482062871644187481829141550144424
178-4	0.0031	-0.000454069944381078802726291517083648632
186-0	0.0003	-0.00387378099674054448983721844487545416
187-0	0.0014	-4.54723945940047021269595869103569689e-05
187-1	0.0001	-0.00153364855194232660586190965245355468
188-0	0.0	-4.47356010068092776255346496753739111e-08
188-1	0.0016	-0.0462008073220227557579334544018582966
186-1	0.0025	-0.00152534493537352474607525236236466953
186-2	0.0005	-4.56025591344572482766592656981160819e-05
189-0	0.0086	-0.00031355325740226063646445912620642382
195-0	0.0021	-0.00017273632198759782630888972685002428
189-1	0.0011	-0.0358673364366585139595906302318136286
193-0	0.0037	-0.0323474435748738704020913329918289734
189-2	0.0013	-0.000374635406353128786356318864476665361
199-0	0.0017	-1.99167959542450043008938417463939452e-05
