number	strain	dE
2-0	0.042	-0.00798961762223284629584648854726193308
4-0	0.0533	-0.000480744502659337287310992244362540723
0-0	0.0174	-0.00384160913360968203720286331275471061
9-0	0.0096	-0.0153343337335044722586552571619054363
2-1	0.0162	-0.00187897575519076568715249125108212064
0-1	0.0406	-0.00778628504230566393378722706901881335
16-0	0.0493	-0.00154422577979828788984916887746806323
17-0	0.0568	-0.000322168562547723631160283726848561531
11-0	0.1078	-0.0142222408507418091159987300831132482
21-0	0.045	-0.00379157398179466489939923857869972229
24-0	0.0128	-0.0128101885374881639757106067706856882
11-1	0.0466	-0.0070636370407376810476763983605219044
27-0	0.0006	-0.000352477238036197748713406093966599639
26-0	0.0389	-0.0234602187607328424738215186948916996
39-0	0.0228	-0.00753285457504413220348578242895093872
35-0	0.0202	-0.00727686385880019757497095089959300751
43-0	0.0121	-0.000409888403589532587667097903719890069
42-0	0.0287	-0.0073783946314000229141852419707559186
46-0	0.0381	-0.00503502859387252157163825127509269382
42-1	0.0302	-0.00186141785681638574392376886432297365
38-0	0.144	-0.0137538339463482821545187404671829536
42-2	0.0336	-0.0197423006800454585848297166378455485
47-0	0.0676	-0.0273962276203823191776481520009055889
64-0	0.0064	-0.00820495888933416727158429924660400952
61-0	0.0257	-0.00466627523007981931963546202716300644
65-0	0.0108	-0.00106419795847971259629565365641387338
66-0	0.0023	-1.29377245266873464169255847377925381e-05
61-1	0.0472	-0.00842020654644583499460726543272697183
60-0	0.0958	-0.0257526158715382812628962314345005662
60-1	0.0041	-3.06230422332135501469205957066624342e-07
65-1	0.0707	-0.0175030950014448493642227484775664065
68-0	0.0151	-0.000128704703748792015977951530689827132
65-2	0.0223	-0.0125531265478792996692631836497173719
69-0	0.0067	-0.00104720679344107164933814939517651014
60-2	0.0094	-0.000111672778461717356064442239400533306
70-0	0.0069	-0.00107426956691995408981365227148096306
60-3	0.0455	-0.00884200823413159005523689436365515894
69-1	0.0093	-1.4070288346357099682950115037663261e-05
72-0	0.0309	-0.0116407748790635959948851675208479617
69-2	0.0718	-0.00203733799808863090293472438194582238
74-0	0.0069	-0.00226137453773192443066877397252766856
69-3	0.0341	-0.000248113721865446853641319022964498375
72-1	0.0122	-0.000151419521758014030373381196168848881
74-1	0.0909	-0.00887555239445610735364944307769752573
69-4	0.0147	-0.0165333061500148568501744867608314448
74-2	0.0039	-0.0348302684541068577097352068471505931
78-0	0.0643	-0.00151176979709187224625922299625325088
69-5	0.0054	-3.37237286319543979224894624174202744e-06
79-0	0.0337	-0.0199582908867320947473096866767464068
82-0	0.02	-0.00216854477851413617588204920248819438
80-0	0.0083	-0.000854976171378161731221292224322929156
79-1	0.0314	-0.000102329077339084829679118321038621428
84-0	0.0077	-0.00751214134863069526588583146187524207
80-1	0.0413	-0.000339003698787589314158804158546908859
88-0	0.0301	-0.0162161583277084055251557759308207571
92-0	0.0181	-0.00136768936684002185268253660926557998
90-0	0.0554	-0.00124056267644468089958337126826533201
88-1	0.0479	-0.016840299898063421071497501013036035
95-0	0.0036	-0.0348612547358587794067111578015578774
88-2	0.0149	-0.00230752041451879876588854568359424197
95-1	0.0287	-0.00267605263814732617451722761751042909
97-0	0.0178	-0.0126604623147174282386573515082222048
95-2	0.0504	-0.000301033183406407692168355325952764535
98-0	0.0399	-0.00853328044834961399728823488626960352
102-0	0.0142	-0.00552528952919623511384698906791320245
101-0	0.0568	-0.000254186916788170586820436411596357044
103-0	0.0444	-0.00643046938850241887598697620817941507
102-1	0.0224	-0.0224036935817873134302042052860212922
104-0	0.0502	-0.00643284901968603320050263633708660209
103-1	0.0528	-0.000326884591733828448900216480760078353
102-2	0.0414	-0.000656127782450736756238023004493701539
104-1	0.0399	-0.00596384791318339276327318993187494571
105-0	0.0055	-0.00568918815909828549530846867141822626
103-2	0.0214	-0.0131556875943318693747939116515794785
108-0	0.033	-0.00440720799903388932911436104045889517
106-0	0.0268	-6.91647833118505951400899577881179122e-05
103-3	0.1402	-0.0151020741742172387548120795832233066
110-0	0.0394	-0.000272085897325121003525530406764336876
111-0	0.0558	-0.00251539935804087904968598235307490572
111-1	0.0005	-0.000150689685036595921724473987286491034
116-0	0.0331	-0.000510006355830653082684881308795090755
118-0	0.0354	-0.000362217172410419138940693985844970387
116-1	0.0093	-0.0103915687615924065232069301795125752
114-0	0.0449	-0.012981253863807343276395710628173708
120-0	0.0394	-0.000712590935184241316723406726935058511
120-1	0.0075	-0.00236740738592414863879638292910289486
114-1	0.0199	-0.00358576264740926684456310058546658751
120-2	0.0571	-0.0159852246499203945413015825493572277
128-0	0.0634	-0.00336998867594215375788833184153676388
129-0	0.0158	-0.0254230776980796688451121867865522949
132-0	0.0975	-0.00334959986079203821432324753371214529
136-0	0.0786	-0.0133735243647586948979893945788708074
134-0	0.1321	-0.000944264497886026989648417939115637841
139-0	0.0017	-0.00919162311317766750793719569363842695
136-1	0.0735	-0.000308320471149058812090990448569012008
142-0	0.0177	-0.00343760441946189970076149638667298675
145-0	0.0094	-0.0031603437271601964578866183405248316
143-0	0.0563	-0.00508154155953779589867249750554895896
147-0	0.0107	-0.00482426431327996602616148095291529651
145-1	0.0182	-0.00169742850542709933742497579709954222
148-0	0.0789	-0.00619526550875880544551908749367718189
150-0	0.0372	-0.00313478156986394550068124794254006476
151-0	0.0138	-0.000193700243228376963111240788690799052
148-1	0.0132	-0.000442254868601016870945533879696302729
149-0	0.0028	-0.00944948811827199772751486740904378121
151-1	0.0116	-0.00425775266363628518414570326402780665
