num	t/b	strain	dE	RMS	PR	hyst
0	top	0.0051	0.0	2.365857470734838e-06	0.053403779372036664	0.0006
0	bot	0.0044	0.0	2.4824576363243408e-06	0.058847461500166905	0.0006
1	top	0.0008	0.0	2.408950325611515e-07	0.01877113753430444	0.0012
1	bot	-0.0005	0.0	3.634155818985813e-07	0.01404972814783029	0.0012
2	top	0.0022	0.0	2.534526578793122e-06	0.038052028982607275	0.0001
2	bot	0.002	0.0	2.534526663312407e-06	0.03806729876302548	0.0001
3	top	0.0005	0.0	2.2324393087683302e-07	0.04401069290722591	0.0001
3	bot	0.0003	0.0	2.2324393087682042e-07	0.0438691351909262	0.0001
4	top	0.0003	0.0	1.2436769366666723e-06	0.07799110671330103	0.0002
4	bot	2.350988701644575e-38	0.0	1.9288526745450593e-06	0.07692135652558654	0.0002
5	top	0.0035	0.0	3.0343572671130173e-06	0.1913273908347354	0.0001
5	bot	0.0033	0.0	3.034356198372958e-06	0.19087474654209094	0.0001
6	top	0.0007	0.0	1.1452875093757296e-06	0.020790381406511207	0.0008
6	bot	-0.0002	0.0	3.2011460934630877e-06	0.025666618142620126	0.0008
7	top	0.0005	0.0	7.092639054779119e-07	0.017901857376820478	0.0001
7	bot	0.0003	0.0	7.092639522728352e-07	0.01791724362556047	0.0001
8	top	0.0028	0.0	3.7134134296248763e-06	0.1798802330508298	0.0003
8	bot	0.0024	0.0	5.780002687763492e-06	0.18518246700143065	0.0003
9	top	0.0094	0.0	6.459412366541649e-06	0.07798576737235273	0.0033
9	bot	0.006	0.0	6.046936151980566e-06	0.07019127932227086	0.0033
10	top	0.0037	0.0	7.582474051016755e-06	0.052110406556172814	0.0014
10	bot	0.0022	0.0	8.068735421041134e-06	0.069359516111779	0.0014
11	top	0.0024	0.0	9.187092475391726e-06	0.08113942740761525	0.0037
11	bot	-0.0014	0.0	8.838542072724084e-06	0.06416830109950684	0.0037
12	top	0.0013	0.0	4.864371469502768e-06	0.04088986797152581	0.0014
12	bot	-0.0002	0.0	5.008321627926488e-06	0.03485860235558493	0.0014
13	top	0.0055	0.0	1.1805123780126042e-06	0.08628555409905976	0.0001
13	bot	0.0053	0.0	1.1804792665819387e-06	0.08642915330382885	0.0001
14	top	0.0007	0.0	3.574956621590307e-06	0.12323276038846662	0.0007
14	bot	-0.0001	0.0	4.402246960438685e-06	0.11832467979887998	0.0007
15	top	0.0021	0.0	1.7559437935458176e-06	0.08692126829279816	0.0019
15	bot	0.0001	0.0	1.4876014836296895e-06	0.0990106403341548	0.0019
16	top	0.0042	0.0	1.265796312811897e-06	0.008931080577223274	0.0024
16	bot	0.0017	0.0	1.7983694927875576e-06	0.010321839725577561	0.0024
17	top	0.0017	0.0	1.4208511935014042e-07	0.009704489950018526	0.0001
17	bot	0.0015	0.0	1.4208512201760612e-07	0.009707780086526858	0.0001
18	top	0.0062	0.0	3.5154690577884546e-07	0.025280911876836447	0.0004
18	bot	0.0057	0.0	2.2759998404608655e-07	0.020135768106727854	0.0004
19	top	0.0014	0.0	1.880509160641676e-06	0.06611125014539615	0.0002
19	bot	0.0011	0.0	1.825139186409224e-06	0.07880655895930648	0.0002
20	top	0.0056	0.0	4.160782486646794e-06	0.1791572626160223	0.0001
20	bot	0.0054	0.0	4.160782486646848e-06	0.17920851806628732	0.0001
21	top	0.004	0.0	4.842079259391268e-06	0.14944321166004554	0.0011
21	bot	0.0028	0.0	7.332531635290443e-06	0.25036437575139836	0.0011
22	top	0.0016	0.0	1.7129216274843935e-05	0.1773781657652554	0.0027
22	bot	-0.0012	0.0	1.389628626945954e-05	0.12781389984072677	0.0027
23	top	0.0004	0.0	9.846975057942795e-07	0.060263701599165144	0.0001
23	bot	0.0002	0.0	9.846976183806101e-07	0.060385865981555424	0.0001
24	top	0.0021	0.0	3.416887792946987e-06	0.17260144510899378	0.0002
24	bot	0.0018	0.0	3.8844083931674956e-06	0.1673175932035325	0.0002
25	top	0.0023	0.0	7.965158495124825e-07	0.05086093437249341	0.0001
25	bot	0.0021	0.0	7.965158495124664e-07	0.05087860433957487	0.0001
26	top	0.0025	0.0	5.35922152364363e-06	0.09697122100096313	0.0015
26	bot	0.0009	0.0	1.550722852037402e-05	0.17929059268831862	0.0015
27	top	0.001	0.0	3.7851668279784067e-06	0.16417647987448572	0.0006
27	bot	0.0003	0.0	2.1125797706847626e-06	0.15682758932567112	0.0006
28	top	0.003	0.0	5.58652323022189e-06	0.120790652816141	0.0009
28	bot	0.002	0.0	5.968179028026368e-06	0.12335182197401162	0.0009
29	top	0.0035	0.0	3.870297438557116e-06	0.04040981780040984	0.0002
29	bot	0.0032	0.0	3.665870952531292e-06	0.033302521743378916	0.0002
30	top	0.0045	0.0	1.6874747004907216e-05	0.10092674481369869	0.0034
30	bot	0.001	0.0	6.270664566222401e-06	0.05820624606874638	0.0034
31	top	0.0021	0.0	1.1106882309644193e-06	0.148986766581148	0.0003
31	bot	0.0017	0.0	9.319493768949874e-07	0.1430677616977157	0.0003
32	top	0.0065	0.0	3.5039400254805156e-07	0.001120367716854965	0.0065
32	bot	-0.0001	0.0	1.1043500522404481e-06	0.0010222732597212178	0.0065
33	top	0.0037	0.0	5.231154209562889e-06	0.03186272606095791	0.0012
33	bot	0.0024	0.0	3.7598535096402176e-06	0.02611867847136983	0.0012
34	top	0.0023	0.0	7.91047981439517e-07	0.033305230624035044	0.0005
34	bot	0.0017	0.0	7.712202753352171e-07	0.03957402590219299	0.0005
35	top	0.0055	0.0	2.8045016624214877e-06	0.04455074447317487	0.0007
35	bot	0.0047	0.0	2.4377947919482335e-06	0.054478793503027124	0.0007
36	top	0.0038	0.0	2.2908632683441195e-06	0.05942594977002434	0.0004
36	bot	0.0033	0.0	2.281751689384561e-06	0.06238348161733712	0.0004
37	top	0.0016	0.0	6.958325138091072e-06	0.07931515162770048	0.0004
37	bot	0.0011	0.0	6.603917276155793e-06	0.07967822361430572	0.0004
38	top	0.0046	0.0	2.8374003778133754e-06	0.0634462238827798	0.003
38	bot	0.0015	0.0	2.9125635447930924e-06	0.09824208472465523	0.003
39	top	0.0038	0.0	3.992239601346058e-06	0.022280846867351788	0.0015
39	bot	0.0022	0.0	4.025755107675395e-06	0.01962590844344375	0.0015
40	top	0.0019	0.0	2.1932371949197482e-06	0.09226322712684965	0.0003
40	bot	0.0015	0.0	2.088643214651931e-06	0.07902793624138463	0.0003
41	top	0.0022	0.0	4.264152422323487e-06	0.16153255150211254	0.0001
41	bot	0.002	0.0	4.264152513543079e-06	0.161524100718048	0.0001
42	top	0.0029	0.0	2.369106991360679e-06	0.16256833428779863	0.0006
42	bot	0.0022	0.0	1.9435090233265294e-06	0.09659247292744819	0.0006
43	top	0.0016	0.0	6.475740370972397e-06	0.09352130469895724	0.0016
43	bot	-0.0001	0.0	6.89165938741365e-06	0.057690308102343296	0.0016
44	top	0.0025	0.0	2.0709266180158774e-06	0.05620770045238665	0.0002
44	bot	0.0022	0.0	3.017372041102566e-06	0.054248412207074645	0.0002
45	top	0.0032	0.0	6.357100524571989e-07	0.01949741561325892	0.0002
45	bot	0.0029	0.0	5.927217048651038e-07	0.020023597021702474	0.0002
46	top	0.0053	0.0	4.6674920531012973e-07	0.04379144652265841	0.0001
46	bot	0.0051	0.0	4.667494999523359e-07	0.043787026048035665	0.0001
47	top	0.0005	0.0	2.0553578686140742e-06	0.0261830007353049	0.0001
47	bot	0.0003	0.0	2.0553576916057617e-06	0.026165069621585796	0.0001
48	top	0.0001	0.0	1.6228993520313857e-06	0.02344718063290593	0.0001
48	bot	-0.0001	0.0	1.6228993944181972e-06	0.023449926355172127	0.0001
49	top	0.0031	0.0	5.335516892227184e-06	0.07057811521975081	0.0004
49	bot	0.0026	0.0	5.286143889121308e-06	0.06926515039255639	0.0004
50	top	0.0007	0.0	2.873646618509144e-06	0.13537553751673362	0.0002
50	bot	0.0004	0.0	3.222194726686366e-06	0.13110748268337527	0.0002
51	top	0.0049	0.0	7.390954997101085e-06	0.11715854781751676	0.0004
51	bot	0.0044	0.0	8.339849545156485e-06	0.11895104296279609	0.0004
52	top	0.0017	0.0	9.71202749029988e-07	0.061695280747336455	0.0001
52	bot	0.0015	0.0	9.712027490300403e-07	0.06158757961431803	0.0001
53	top	0.0002	0.0	2.1010273034354193e-06	0.10357814027125728	0.0007
53	bot	-0.0006	0.0	1.4638790872574226e-06	0.096725639090852	0.0007
54	top	0.0029	0.0	2.843420343592104e-06	0.08758052485756877	0.0005
54	bot	0.0023	0.0	4.034134929438897e-06	0.08460501057258896	0.0005
55	top	0.0008	0.0	1.7787063404309534e-06	0.08268024090084913	0.0001
55	bot	0.0006	0.0	1.778706340430967e-06	0.08258397520235307	0.0001
56	top	0.0024	0.0	5.913032961710122e-06	0.1066616691060633	0.0004
56	bot	0.0019	0.0	5.494745274872128e-06	0.10044703365275279	0.0004
57	top	0.0031	0.0	7.99695769551374e-06	0.046426685932584255	0.0039
57	bot	-0.0009	0.0	6.8129521470196545e-06	0.05210402442228576	0.0039
58	top	0.0045	0.0	4.52644629014633e-06	0.027583095232727492	0.0019
58	bot	0.0025	0.0	4.351499478811994e-06	0.03964642690832965	0.0019
59	top	0.0018	0.0	5.1922495955340336e-06	0.042775803104902844	0.0022
59	bot	-0.0005	0.0	7.582652492205456e-06	0.06982942383414716	0.0022
60	top	0.0052	0.0	3.328029569742185e-06	0.014055168537278631	0.0006
60	bot	0.0045	0.0	4.33782080302436e-06	0.025483285260389666	0.0006
61	top	0.0023	0.0	2.31672121834265e-06	0.024880999547443217	0.0039
61	bot	-0.0017	0.0	1.6055351071541059e-06	0.01643953416785498	0.0039
62	top	0.0012	0.0	4.02250527189474e-06	0.03837909812109002	0.0041
62	bot	-0.003	0.0	3.3788925508992003e-06	0.024963924944678414	0.0041
63	top	0.0024	0.0	1.2259264866894284e-06	0.0384342489907993	0.0007
63	bot	0.0016	0.0	2.249936720724908e-06	0.03789977558147789	0.0007
64	top	0.002	0.0	1.2567008502101734e-05	0.15201076368435418	0.0007
64	bot	0.0012	0.0	8.049748706372655e-06	0.15711039457403358	0.0007
65	top	0.0025	0.0	3.66107418776738e-07	0.05155726273973792	0.0001
65	bot	0.0023	0.0	3.661074187767356e-07	0.051425092597491485	0.0001
66	top	0.0074	0.0	1.5903590660677616e-06	0.07142912311192122	0.0001
66	bot	0.0072	0.0	1.5903590660677095e-06	0.07144162708302776	0.0001
67	top	0.0037	0.0	3.833243218604621e-06	0.07351018194468567	0.0007
67	bot	0.0029	0.0	4.510746741752978e-06	0.08261916143976131	0.0007
68	top	0.0051	0.0	3.0086137192849273e-06	0.0886969405425732	0.0008
68	bot	0.0042	0.0	3.3633871999875287e-06	0.08762271212495279	0.0008
69	top	0.0005	0.0	5.133497201738129e-06	0.017994176255904066	0.0005
69	bot	-0.0001	0.0	5.144046516485884e-06	0.016456040304444804	0.0005
70	top	0.0013	0.0	7.292461396787873e-06	0.25800810458182666	0.0007
70	bot	0.0005	0.0	8.433479158322661e-06	0.24287009032079665	0.0007
71	top	0.0073	0.0	2.4699653837294825e-06	0.039733187086668585	0.0015
71	bot	0.0057	0.0	2.2651127347406015e-06	0.034200821004744836	0.0015
72	top	0.0019	0.0	4.2437617860017266e-07	0.007591073925659403	0.0007
72	bot	0.0011	0.0	5.488035334291992e-07	0.00898966350662775	0.0007
73	top	0.0006	0.0	4.5767177336400047e-07	0.017683284301707347	0.0005
73	bot	2.350988701644575e-38	0.0	5.352584278691405e-07	0.02071598493862601	0.0005
74	top	0.0038	0.0	1.4354849090618862e-06	0.020860434012958725	0.0005
74	bot	0.0032	0.0	1.1321825892921169e-06	0.01171447896467203	0.0005
75	top	0.0055	0.0	3.847054019120727e-06	0.07059934087697903	0.0006
75	bot	0.0048	0.0	3.5899516593115248e-06	0.07343442733354479	0.0006
