num	t/b	strain	dE	RMS	PR	hyst
0	top	0.0272	0.0	0.0002896759427274339	0.3204177374337213	0.0152
0	bot	0.0119	0.0	0.00023372142193519034	0.26729982931205853	0.0152
1	top	0.0045	0.0	2.186913130149673e-05	0.16957793017345954	0.0004
1	bot	0.004	0.0	2.015926267447587e-05	0.17231968093907646	0.0004
2	top	0.0057	0.0	1.5615784588613546e-05	0.16497853920328753	0.0001
2	bot	0.0055	0.0	1.5615784588613485e-05	0.1641715882928161	0.0001
3	top	0.0005	0.0	6.289866598250582e-05	0.1426228328153527	0.0018
3	bot	-0.0014	0.0	7.326196810426069e-05	0.1719832322116756	0.0018
4	top	0.0017	0.0	0.00010338940064274809	0.23644683987565868	0.0008
4	bot	0.0008	0.0	7.638623483592777e-05	0.23358563714360953	0.0008
5	top	0.0068	0.0	3.7753350675221414e-05	0.03893642465298157	0.0003
5	bot	0.0064	0.0	3.7334495085807764e-05	0.03825035002895938	0.0003
6	top	0.0082	0.0	4.329969884837422e-06	0.14347089836735752	0.0001
6	bot	0.008	0.0	4.329969884837359e-06	0.1433719878588128	0.0001
7	top	0.0031	0.0	9.394830418461218e-05	0.1295619499222334	0.0041
7	bot	-0.0011	0.0	6.392259612896213e-05	0.1484088748420392	0.0041
8	top	0.0037	0.0	7.5373897899595724e-06	0.09571258772373775	0.0001
8	bot	0.0035	0.0	7.5373897899593395e-06	0.09526824718835883	0.0001
9	top	0.0045	0.0	2.829803837751155e-05	0.09332606698655697	0.0021
9	bot	0.0023	0.0	4.1329623549715514e-05	0.07088080564376159	0.0021
10	top	0.0125	0.0	2.7823536872923913e-05	0.14737264550916912	0.0026
10	bot	0.0098	0.0	3.013211630618445e-05	0.1616627423198968	0.0026
11	top	0.0025	0.0	1.1818714972496715e-05	0.03402034406433591	0.0021
11	bot	0.0003	0.0	1.1842850429678455e-05	0.05775688254060042	0.0021
12	top	0.0093	0.0	0.00017519770132389065	0.31002125687187354	0.0109
12	bot	-0.0017	0.0	0.0001739947038167674	0.26684060235949514	0.0109
13	top	0.0088	0.0	2.3182784701366147e-05	0.3423889280769292	0.0015
13	bot	0.0072	0.0	3.051295182284579e-05	0.3561883563464328	0.0015
14	top	0.0113	0.0	4.2243541282693535e-05	0.1906081759151	0.0065
14	bot	0.0047	0.0	2.925984242844967e-05	0.10262155260565563	0.0065
15	top	0.005	0.0	4.9436510911741434e-05	0.06482185023791952	0.0037
15	bot	0.0012	0.0	4.98505852598503e-05	0.07614371516381493	0.0037
16	top	0.0049	0.0	0.00015658842008898333	0.2667858541858677	0.004
16	bot	0.0008	0.0	0.0001710358242106804	0.286549498652044	0.004
17	top	0.0052	0.0	7.930211457031393e-06	0.18083779725926258	0.0004
17	bot	0.0047	0.0	9.271860930439366e-06	0.151024874786913	0.0004
18	top	0.0193	0.0	9.096731876049476e-06	0.27156921310522164	0.0001
18	bot	0.0191	0.0	9.09673187604942e-06	0.2714079529338449	0.0001
19	top	0.0213	0.0	3.929301332187552e-05	0.3290964920885476	0.0009
19	bot	0.0203	0.0	2.9163520842078896e-05	0.2768326802668684	0.0009
20	top	0.0034	0.0	2.3978972357376037e-05	0.10677540571380015	0.0004
20	bot	0.0029	0.0	2.3589614446427895e-05	0.10238712233871214	0.0004
21	top	0.016	0.0	5.8546604172507384e-05	0.05386443627031918	0.0012
21	bot	0.0147	0.0	5.741051991252185e-05	0.04352485467744533	0.0012
22	top	0.0119	0.0	1.556518517522518e-05	0.08882197732347541	0.0008
22	bot	0.011	0.0	9.547568907244783e-06	0.08791983398438909	0.0008
23	top	0.0143	0.0	4.641984978423791e-05	0.061986958043061424	0.0025
23	bot	0.0117	0.0	5.113219302134507e-05	0.07048259455820417	0.0025
24	top	0.0047	0.0	6.0486356239337315e-05	0.1601243240716732	0.0038
24	bot	0.0008	0.0	7.757685183409295e-05	0.12551740835898237	0.0038
25	top	0.0022	0.0	1.7587313369985725e-05	0.18231325609588106	0.0016
25	bot	0.0005	0.0	1.3064621012593717e-05	0.1817318527663725	0.0016
26	top	0.0106	0.0	3.337140277224873e-05	0.29608655700240016	0.0004
26	bot	0.0101	0.0	3.828676640874027e-05	0.3126520637235347	0.0004
27	top	0.0254	0.0	8.651954838974489e-05	0.0758366898498547	0.0091
27	bot	0.0162	0.0	5.404012746126957e-05	0.109730600392682	0.0091
28	top	0.0037	0.0	6.56334490430306e-05	0.18396826177958336	0.0035
28	bot	0.0001	0.0	6.865550351472237e-05	0.167933731540248	0.0035
29	top	0.0052	0.0	1.9276561478709094e-05	0.0912718598767219	0.0004
29	bot	0.0047	0.0	1.3086500685974278e-05	0.09016959093975473	0.0004
30	top	0.0112	0.0	0.00010149809189017389	0.28780728488563667	0.0047
30	bot	0.0064	0.0	8.798028450700149e-05	0.2967870509310436	0.0047
31	top	0.0139	0.0	9.975784349367665e-06	0.19854936778087792	0.0001
31	bot	0.0137	0.0	9.975784349367714e-06	0.19859969072222197	0.0001
32	top	0.0086	0.0	2.4187188877944823e-05	0.07153891490629156	0.0034
32	bot	0.0051	0.0	3.063041017263042e-05	0.14860824228762437	0.0034
33	top	0.0056	0.0	2.1881020071417435e-05	0.29088090200432837	0.0002
33	bot	0.0053	0.0	2.514716100037792e-05	0.2792740441237835	0.0002
34	top	0.0036	0.0	1.8578845202663175e-05	0.21482060991500143	0.0004
34	bot	0.0031	0.0	1.4840917461124556e-05	0.20206215289923707	0.0004
35	top	0.0009	0.0	2.2740140178816972e-05	0.13639517104787116	0.0003
35	bot	0.0005	0.0	1.5497823143603563e-05	0.13491396988658402	0.0003
36	top	0.0057	0.0	4.2788646677035107e-05	0.09994851772156409	0.0028
36	bot	0.0028	0.0	3.961717143923211e-05	0.09305721377801644	0.0028
37	top	0.0066	0.0	1.7069500890699572e-05	0.22716814273246122	0.0009
37	bot	0.0056	0.0	2.858141048886369e-05	0.23517006257266224	0.0009
38	top	0.0373	0.0	5.1746627013463905e-05	0.16210899251862465	0.0037
38	bot	0.0335	0.0	7.438513634565474e-05	0.258914794070013	0.0037
39	top	0.0045	0.0	4.702227188059649e-05	0.21066495647351516	0.0008
39	bot	0.0036	0.0	3.4303351175979674e-05	0.25684398452508733	0.0008
40	top	0.0081	0.0	6.379409283197599e-06	0.08529949101676632	0.0003
40	bot	0.0077	0.0	8.492217233906088e-06	0.08702805702097907	0.0003
41	top	0.0286	0.0	4.1885920011961406e-05	0.22120365595301478	0.0019
41	bot	0.0266	0.0	2.400775632426407e-05	0.14552261830649685	0.0019
42	top	0.0109	0.0	5.5659749774885045e-05	0.3665320821593758	0.0037
42	bot	0.0071	0.0	5.775648556091706e-05	0.33541494530128024	0.0037
43	top	0.0091	0.0	3.594862474414403e-05	0.4459447714323203	0.0016
43	bot	0.0074	0.0	2.725034044154953e-05	0.386053305450217	0.0016
44	top	0.0218	0.0	2.288874302022867e-05	0.19542074176225274	0.0012
44	bot	0.0205	0.0	3.223768059479841e-05	0.21114301099987154	0.0012
45	top	0.0051	0.0	4.6155274201212765e-06	0.14307604127487006	0.0001
45	bot	0.0049	0.0	4.615529141287502e-06	0.14302623354033617	0.0001
46	top	0.0078	0.0	6.358748636709162e-05	0.04195862062109271	0.0059
46	bot	0.0018	0.0	9.349968774782618e-05	0.08736052952397569	0.0059
47	top	0.0091	0.0	2.4435490229109103e-05	0.2326577761464181	0.0005
47	bot	0.0085	0.0	2.6153878207600498e-05	0.23695470527155849	0.0005
48	top	0.0105	0.0	9.064022310880548e-05	0.30359097820183645	0.0022
48	bot	0.0082	0.0	0.00010504230452390243	0.2677292976454986	0.0022
49	top	0.002	0.0	5.623274526388175e-07	0.15919706117904364	0.0001
49	bot	0.0018	0.0	5.6232745263871e-07	0.15927869950798632	0.0001
50	top	0.0128	0.0	6.0008750495366074e-05	0.07235014813115391	0.0053
50	bot	0.0074	0.0	5.660565152525599e-05	0.06754109982683913	0.0053
51	top	0.0023	0.0	2.4252921494803604e-05	0.17183175664459976	0.0003
51	bot	0.0019	0.0	2.7244493055151752e-05	0.16284278933451474	0.0003
52	top	0.0011	0.0	5.4519493592687615e-05	0.09271886722774665	0.0029
52	bot	-0.0019	0.0	2.0199566214217552e-05	0.043329947433603404	0.0029
53	top	0.0092	0.0	2.532355577034243e-05	0.10483036405045999	0.0009
53	bot	0.0082	0.0	3.463807434559835e-05	0.11177328753751194	0.0009
54	top	0.0049	0.0	1.943065216073696e-05	0.29968959576802723	0.0003
54	bot	0.0045	0.0	2.0011462429514635e-05	0.29899184322735073	0.0003
55	top	0.0122	0.0	5.514853073650733e-06	0.2097829260317759	0.0001
55	bot	0.012	0.0	5.5148530736507795e-06	0.20964954954254086	0.0001
56	top	0.0013	0.0	1.0214754351484582e-05	0.23099513481713257	0.0002
56	bot	0.001	0.0	1.0193223339893568e-05	0.22070130610832725	0.0002
57	top	0.0039	0.0	4.869404387588496e-06	0.03456348129037198	0.0006
57	bot	0.0032	0.0	4.922928279394714e-06	0.042985403347455216	0.0006
58	top	0.0101	0.0	2.1135477161062527e-05	0.040458296632113123	0.0053
58	bot	0.0047	0.0	2.411117253804863e-05	0.06581061081971128	0.0053
59	top	0.0022	0.0	0.00012950416426746368	0.052442859388785436	0.0097
59	bot	-0.0076	0.0	7.407413021742866e-05	0.04096567233637283	0.0097
60	top	0.0123	0.0	2.3980831713868984e-05	0.27373487952424935	0.0003
60	bot	0.0119	0.0	2.101917144490842e-05	0.2186383797675166	0.0003
61	top	0.0055	0.0	4.067631187188901e-05	0.269219872999541	0.0008
61	bot	0.0046	0.0	3.87340079494112e-05	0.22440942006186998	0.0008
62	top	0.0089	0.0	1.1594658329746478e-05	0.0833528791387414	0.0003
62	bot	0.0085	0.0	1.115510926446526e-05	0.08804881286618835	0.0003
63	top	0.0081	0.0	5.069639563357874e-06	0.11500891437420038	0.0001
63	bot	0.0079	0.0	5.069639563357991e-06	0.11494344869243901	0.0001
64	top	0.0028	0.0	0.00010453209130920523	0.349381842677648	0.0025
64	bot	0.0002	0.0	0.00013414619492437116	0.3317312409897669	0.0025
65	top	0.0176	0.0	1.1602923421235165e-05	0.016994608269867047	0.0073
65	bot	0.0102	0.0	1.950024199839424e-05	0.020347348076724895	0.0073
66	top	0.0033	0.0	3.7859713299716545e-05	0.09306239658365867	0.001
66	bot	0.0022	0.0	3.888500653388901e-05	0.17260959629882125	0.001
67	top	0.0126	0.0	2.1111870568997924e-05	0.17811048032671806	0.0007
67	bot	0.0118	0.0	1.4729298199298287e-05	0.18343969130261237	0.0007
68	top	0.0144	0.0	2.516203638151705e-05	0.1294424506819466	0.0007
68	bot	0.0136	0.0	2.2697762028965095e-05	0.16808544084301452	0.0007
69	top	0.0129	0.0	1.4808633681161077e-05	0.10776112508099127	0.0004
