number	strain	dE
1-0	0.0005	-0.0106303308206374044636731477526537225
3-0	0.0017	-0.00880349351293630306726467763120181591
2-0	0.0029	-0.0179429169038466325572681205070360921
4-0	0.0037	-0.00879704589083448687190981018659293916
6-0	0.001	-0.0011037662145786144090945248650069071
2-1	0.0008	-0.00222055100494208923288016050584575235
4-1	0.0012	-0.000829031549602003301001299928864312643
4-2	0.0084	-0.00831055050375982257844301359694632344
7-0	0.0002	-5.73338116119408866511563892936057566e-06
2-2	0.0053	-0.0133762483353637687821117630464178321
4-3	0.0017	-2.81599858819577200502191116145896167e-05
7-1	0.0016	-0.0120007068208610512271459067920507001
2-3	0.0048	-0.000649404874850209120946175103281569783
4-4	0.0025	-0.000224269146097799548199240382265316256
4-5	0.0013	-0.00607880055686188302069877481295694727
4-6	0.0014	-3.53426938974339846219235367510510589e-05
12-0	0.0058	-0.000245159497418733245420152799601951462
12-1	0.0012	-0.0140447352239542784233798328813649384
13-0	0.0037	-0.000371755754571388244863888936220332476
12-2	0.0128	-0.000449116431784978542305170120635977984
16-0	0.0011	-0.0208537998169025575180149898651601632
12-3	0.0011	-0.000626758474331917719559230501761172114
21-0	0.0008	-5.54976050014597710942178100161458979e-06
21-1	0.004	-2.41152496179132050701304451568272182e-05
23-0	0.0023	-0.00117415185416883442391130895911021735
26-0	0.0003	-0.000260117426487150568514856584891498171
23-1	0.0015	-0.000132025864045034288916728147621254025
29-0	0.0017	-0.000136438078104804178175683750685382389
30-0	0.0018	-0.00969593884368978536271326992506694017
25-0	0.0149	-0.00218862004732001986310981373680990531
31-0	0.0013	-0.000678260010264838883995052631245468203
32-0	0.0018	-4.38925424760642982541104891359777281e-07
32-1	0.0013	-1.98794228850506397172423137168424525e-05
34-0	0.0058	-0.0166311555645875222081869065287653514
33-0	0.003	-0.00060280134641833182000013667496138131
38-0	0.0036	-0.0119880345223984168299299998994312339
33-1	0.0038	-0.0558886120970716188543886772384917598
41-0	0.004	-0.000167526129129608821626255671780399059
33-2	0.0012	-0.0616608397579352209821601000754218232
39-0	0.014	-0.000604846212418018581479320448971342888
42-0	0.0041	-0.0166145370196855184636351656874987633
43-0	0.0035	-0.00103874589344935172746331574612981466
39-1	0.0033	-0.000546094199453489784886262935444933772
43-1	0.0094	-0.0188514488549664573276798034974559046
50-0	0.0006	-0.0023215745689866398387933956077419807
53-0	0.001	-0.000167598455836364645538561182726467817
50-1	0.0028	-5.31724713008173606308401790628016998e-05
53-1	0.0126	-0.000427536058630031576469021684160322911
57-0	0.0018	-0.00104641803677175878189255409435820021
58-0	0.0012	-0.000337408225272115615275962554438498905
53-2	0.0046	-0.00641499798066777362325165374691771333
56-0	0.0015	-0.0382267991009856215566277717794601803
59-0	0.0032	-0.00475260014272384359596006905098024781
56-1	0.0054	-0.000922871411356514494199266563219484233
67-0	0.0023	-1.33309757633432841536469832447702698e-05
64-0	0.0095	-0.0103568616467475175041873326012907739
69-0	0.0024	-0.000480612332279161423423932690202334778
71-0	0.0047	-0.00965872871820047830200749018048185519
69-1	0.0071	-0.00230995888367282865942670526855739515
71-1	0.0027	-7.26831501733779098979666380197060019e-05
69-2	0.0055	-0.057819754016806157196232102372229097
69-3	0.0003	-0.0452278310589906252512949022624376053
70-0	0.0023	-0.00665928985385817891540786476984063178
71-2	0.0115	-0.000879680371093963893873007275987673526
69-4	0.0014	-0.005517536490714971939971330500731619
71-3	0.0087	-0.00821385593947408950371709870074335403
81-0	0.0022	-0.0202067578844814405964993820100974461
71-4	0.002	-0.00122373106602386672365191905160112407
80-0	0.0129	-0.0151624789227625695208138974120411102
82-0	0.0064	-0.0103011116548609024538830221089928881
71-5	0.001	-0.0533363069482724266508201073185979758
82-1	0.0024	-0.0169320134093202736317943178241074774
90-0	0.0044	-0.000173835191709863533199658073321156276
87-0	0.0024	-0.000337166309565434652738207725876884182
92-0	0.0016	-0.000790103043378558785110642416436884258
87-1	0.0003	-0.000370469230622704306378407349020627455
90-1	0.004	-0.0347631246551655748496188954579098752
90-2	0.0004	-0.0582733799322002556992799846444188731
96-0	0.0005	-0.0269267463164698114709515188046622722
96-1	0.0034	-0.00163683109789463637099415135268759817
97-0	0.0018	-0.00244720039564036007428682147461648423
95-0	0.0021	-0.00040690131941843308919647905822915531
87-2	0.0093	-0.00687257118016340641405157815777880134
96-2	0.0018	-0.000175670164732341584312033335111102082
104-0	0.0032	-0.00118670716400328182559337850562770196
105-0	0.0106	-0.00719152254041011193851689460093296221
107-0	0.0023	-0.00239848476325447223297486629014179535
104-1	0.0004	-3.2357048337739812055916418413186236e-05
106-0	0.0132	-0.00275892328898615401560076370282805963
107-1	0.0096	-0.0214205346411930776100922722790018119
105-1	0.0047	-0.000530684525200702523373096655604560955
110-0	0.0023	-9.98944810651605419274291103159696282e-05
109-0	0.0029	-0.00446915443294993521060648412859910356
105-2	0.0045	-0.000373844330636212585071437494396095683
112-0	0.001	-0.0309288292912688642695524158583122778
113-0	0.0043	-0.0248261412832632676205931693119766351
112-1	0.0024	-0.0101335911707890274983694796485080945
105-3	0.0001	-0.000274814729284874796671737614918517392
115-0	0.0064	-0.0265620567520953049666423218517387095
113-1	0.0101	-0.000123991230181585806604857838601693043
117-0	0.0094	-0.00264542650357160041753865580140096526
115-1	0.0079	-0.054113527130188182758136331050949811
117-1	0.0013	-0.00152864448925616116992062947254174942
