strain	0	1	2	4	8	16	32	64	127	
0.0040105445	4.622231866529366e-33	3.0814879110195774e-33	0.0	2.0029671421627253e-32	4.622231866529366e-33	3.0814879110195774e-33	3.0814879110195774e-33	6.162975822039155e-33	0.0	
0.0040106445	4.755746207716392e-06	4.755746207716392e-06	4.755746207716392e-06	4.755746207716392e-06	4.755746207716392e-06	4.755746207716392e-06	4.755746207716392e-06	4.755746207716392e-06	0.0	
0.0040345595	3.7516989607657924e-06	3.7516989607657924e-06	3.7516989607657924e-06	3.7516989607657924e-06	3.7516989607657924e-06	3.7516989607657924e-06	3.7516989607657924e-06	3.7516989607657924e-06	0.0	
0.0040584744	2.7422706789925034e-06	2.7422706789925034e-06	2.7422706789925034e-06	2.7422706789925034e-06	2.7422706789925034e-06	2.7422706789925034e-06	2.7422706789925034e-06	7.703719777548943e-33	0.0	
0.0040823893	1.729596267579483e-06	1.729596267579483e-06	1.729596267579483e-06	1.729596267579483e-06	1.729596267579483e-06	1.729596267579483e-06	7.703719777548943e-34	4.622231866529366e-33	0.0	
0.0041063043	7.147167741330602e-07	7.147167741330602e-07	7.147167741330602e-07	7.147167741330602e-07	7.147167741330602e-07	7.147167741330602e-07	1.5407439555097887e-32	6.162975822039155e-33	0.0	
0.0041302192	3.0156190990917975e-07	3.0156190990917975e-07	3.0156190990917975e-07	3.0156190990917975e-07	3.0156190990917975e-07	1.6948183510607676e-32	2.465190328815662e-32	1.3096323621833204e-32	0.0	
0.0041541341	1.318471655932562e-06	1.318471655932562e-06	1.318471655932562e-06	1.318471655932562e-06	1.5407439555097887e-32	1.5407439555097887e-33	1.5407439555097887e-32	3.0814879110195774e-33	0.0	
0.004178049	2.3351438167927093e-06	2.3351438167927093e-06	2.3351438167927093e-06	4.622231866529366e-33	1.8488927466117464e-32	1.232595164407831e-32	1.232595164407831e-32	1.5407439555097887e-32	0.0	
0.004201964	3.3503741356818793e-06	4.622231866529366e-33	2.1570415377137042e-32	9.244463733058732e-33	5.3926038442842604e-33	3.851859888774472e-33	5.3926038442842604e-33	1.5407439555097887e-33	0.0	
0.0042258789	4.3615201612647514e-06	0.0	1.232595164407831e-32	2.311115933264683e-33	2.311115933264683e-32	1.1555579666323415e-32	1.1555579666323415e-32	7.703719777548943e-33	0.0	
0.0042259789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
