strain	0	1	2	4	8	16	31	
0.0178166725	1.5407439555097887e-33	6.162975822039155e-33	3.0814879110195774e-33	3.0814879110195774e-33	0.0	1.5407439555097887e-33	0.0	
0.0178167725	3.49543547632617e-07	3.49543547632617e-07	3.49543547632617e-07	3.49543547632617e-07	3.49543547632617e-07	3.49543547632617e-07	0.0	
0.0178441501	2.643993107052024e-07	2.643993107052024e-07	2.643993107052024e-07	2.643993107052024e-07	2.643993107052024e-07	1.4059288594026822e-32	0.0	
0.0178715278	1.7790240456330228e-07	1.7790240456330228e-07	1.7790240456330228e-07	1.7790240456330228e-07	1.7790240456330228e-07	6.933347799794049e-33	0.0	
0.0178989054	9.025713756469789e-08	9.025713756469789e-08	9.025713756469789e-08	9.025713756469789e-08	2.8888949165808538e-33	5.3926038442842604e-33	0.0	
0.0179262831	1.5891757308525572e-09	1.5891757308525572e-09	1.5891757308525572e-09	1.5891757308525572e-09	1.5407439555097887e-33	4.622231866529366e-33	0.0	
0.0179536608	8.800014009792929e-08	8.800014009792929e-08	8.800014009792929e-08	3.851859888774472e-34	7.703719777548943e-34	1.5407439555097887e-33	0.0	
0.0179810384	1.7841407381060338e-07	1.7841407381060338e-07	4.622231866529366e-33	5.3926038442842604e-33	1.5407439555097887e-33	2.311115933264683e-33	0.0	
0.0180084161	2.6954440805943283e-07	3.0814879110195774e-33	1.5407439555097887e-33	2.311115933264683e-33	1.5407439555097887e-33	7.703719777548943e-34	0.0	
0.0180357937	3.612430875889168e-07	3.851859888774472e-33	1.1555579666323415e-33	8.08890576642639e-33	5.3926038442842604e-33	1.1555579666323415e-33	0.0	
0.0180631714	4.531857176230632e-07	3.0814879110195774e-33	3.0814879110195774e-33	3.0814879110195774e-33	6.162975822039155e-33	0.0	0.0	
0.0180632714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
